"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
200,Eritrea,10189,,103,,10086,,0,,2782,28,23693,6470,3662244,Africa,359,35556,155,,,
201,Niger,9931,,312,,8890,,729,1,381,12,254538,9759,26083660,Africa,2626,83601,102,,,28
202,St. Vincent Grenadines,9674,,124,,9493,,57,,86723,1112,114197,1023720,111551,North America,12,900,1,,,511
203,Guinea-Bissau,9614,,177,,8929,,508,6,4659,86,145231,70385,2063367,Africa,215,11657,14,,,246
204,Comoros,9109,,161,,8939,,9,,10038,177,,,907419,Africa,100,5636,,,,10
205,Antigua and Barbuda,9106,,146,,8954,,6,N/A,91509,1467,18901,189943,99509,North America,11,682,5,,,60
206,Liberia,8090,,295,,7783,,12,2,1525,56,139824,26356,5305117,Africa,656,17983,38,,,2
207,Sierra Leone,7779,,126,,N/A,N/A,N/A,,937,15,259958,31296,8306436,Africa,1068,65924,32,,,332
208,Chad,7701,,194,,4874,,2633,,442,11,191341,10988,17413580,Africa,2261,89761,91,,,151
209,British Virgin Islands,7392,,64,,N/A,N/A,N/A,,241600,2092,107339,3508269,30596,North America,4,478,0,,,3236
210,Cook Islands,7203,,2,,7150,,51,,409937,114,19690,1120596,17571,Australia/Oceania,2,8786,1,,,2903
211,Sao Tome and Principe,6778,,80,,6685,,13,,29770,351,29600,130008,227679,Africa,34,2846,8,,,57
212,Turks and Caicos,6752,,40,,6709,,3,4,169900,1007,616788,15520193,39741,North America,6,994,0,,,75
213,Saint Kitts and Nevis,6607,,48,,6559,,0,,122645,891,126958,2356704,53871,North America,8,1122,0,,,
214,Palau,6290,,10,,6276,,4,,344979,548,71434,3917841,18233,Australia/Oceania,3,1823,0,,,219
215,St. Barth,5507,,6,,N/A,N/A,N/A,,553746,603,78646,7908095,9945,North America,2,1658,0,,,506687
216,Nauru,5393,,1,,5347,,45,,494635,92,20509,1881042,10903,Australia/Oceania,2,10903,1,,,4127
217,Kiribati,5085,,24,,2703,,2358,3,41201,194,,,123419,Australia/Oceania,24,5142,,,,19106
218,Anguilla,3904,,12,,N/A,N/A,N/A,N/A,256336,788,51382,3373736,15230,North America,4,1269,0,,,854
219,Wallis and Futuna,3550,,8,,438,,3104,,323256,728,20508,1867419,10982,Australia/Oceania,3,1373,1,,,282644
220,Saint Pierre Miquelon,3452,,2,,2449,,1001,,599410,347,25400,4410488,5759,North America,2,2880,0,,,173815
221,Tuvalu,2943,,1,,N/A,N/A,N/A,N/A,243909,83,,,12066,Australia/Oceania,4,12066,,,,243826
222,Saint Helena,2166,,,,2,,2164,,354211,,,,6115,Africa,3,,,,,353884
223,Falkland Islands,1930,,,,1930,,0,,545352,,8632,2439107,3539,South America,2,,0,,,
224,Montserrat,1403,,8,,1376,,19,,282578,1611,17762,3577442,4965,North America,4,621,0,,,3827
225,Niue,1059,,,,1056,,3,,652898,,,,1622,Australia/Oceania,2,,,,,1850
227,Tokelau,80,,,,,,80,,58055,,,,1378,Australia/Oceania,17,,,,,58055
228,Vatican City,29,,,,29,,0,,36295,,,,799,Europe,28,,,,,
229,Western Sahara,10,,1,,9,,0,,16,2,,,626161,Africa,62616,626161,,,,
231,China,503302,,5272,,379053,,118977,N/A,347,4,160000000,110461,1448471400,Asia,2878,274748,9,,,82
